MarketId,Country,Admin1,Admin2,MarketName,Latitude,Longitude
3251,Kenya,Rift Valley,Turkana,Kakuma 3,3.768113,34.82177
3252,Kenya,North Eastern,Garissa,Dagahaley (Daadab),0.185656,40.291621
3253,Kenya,Rift Valley,Turkana,Ethiopia (Kakuma),3.722899,34.848225
3254,Kenya,North Eastern,Garissa,Hagadera (Daadab),0.005502,40.367772
3255,Kenya,North Eastern,Garissa,IFO (Daadab),0.110807,40.316079
3256,Kenya,Rift Valley,Turkana,Kakuma town,3.708913,34.862557
3258,Kenya,Rift Valley,Turkana,Kalokol,3.535528,35.861382
3269,Kenya,Eastern,Moyale,Moyale town,3.511773,39.051053
3271,Kenya,North Eastern,Wajir,Wajir town,1.750845,40.058478
3358,Kenya,Eastern,Marsabit,Marsabit town,2.33025,37.989172
3360,Kenya,Rift Valley,Turkana,Lodwar town,3.11904,35.598337
3361,Burkina Faso,SAHEL,SOUM,Arbinda,14.23068754,-0.858955296
3362,Burkina Faso,SUD-OUEST,NOUMBIEL,Batié,9.877115729,-2.922855615
3363,Burkina Faso,EST,GNAGNA,Bogandé,12.9742949,-0.143599246
3364,Burkina Faso,BOUCLE DU MOUHOUN,BALÉ,Boromo,11.75073759,-2.928432631
3365,Burkina Faso,CENTRE-NORD,NAMENTENGA,Boulsa,12.66053421,-0.57324793
3366,Burkina Faso,SUD-OUEST,IOBA,Dano,11.14624711,-3.061058844
3367,Burkina Faso,EST,TAPOA,Diapaga,12.03213566,1.819785293
3368,Burkina Faso,BOUCLE DU MOUHOUN,KOSSI,Djibasso,13.11833798,-4.158935217
3369,Burkina Faso,CASCADES,LÉRABA,Douna,10.61286338,-5.107618089
3370,Burkina Faso,BOUCLE DU MOUHOUN,BALÉ,Fara,11.53288094,-2.765253661
3371,Burkina Faso,HAUTS-BASSINS,HOUET,Faramana,12.0502452,-4.668308027
3372,Burkina Faso,HAUTS-BASSINS,TUY,Founza,11.45497043,-3.228637046
3373,Burkina Faso,SUD-OUEST,PONI,Gaoua,10.32838756,-3.184251909
3374,Burkina Faso,BOUCLE DU MOUHOUN,NAYALA,Gassan,12.8201732,-3.200743986
3375,Burkina Faso,EST,KOMANDJARI,Gayéri,12.63729384,0.519187476
3376,Burkina Faso,CENTRE,KADIOGO,Gounghin,12.3561111,-1.5461111
