Date of analysis,Country,Total country population,Level 1,Current from,Current to,Population analyzed current,Phase 3+ number current,Phase 3+ percentage current,Phase 1 number current,Phase 1 percentage current,Phase 2 number current,Phase 2 percentage current,Phase 3 number current,Phase 3 percentage current,Phase 4 number current,Phase 4 percentage current,Phase 5 number current,Phase 5 percentage current,First projection from,First projection to,Population analyzed first projection,Phase 3+ number first projection,Phase 3+ percentage first projection,Phase 1 number first projection,Phase 1 percentage first projection,Phase 2 number first projection,Phase 2 percentage first projection,Phase 3 number first projection,Phase 3 percentage first projection,Phase 4 number first projection,Phase 4 percentage first projection,Phase 5 number first projection,Phase 5 percentage first projection,Second projection from,Second projection to,Population analyzed second projection,Phase 3+ number second projection,Phase 3+ percentage second projection,Phase 1 number second projection,Phase 1 percentage second projection,Phase 2 number second projection,Phase 2 percentage second projection,Phase 3 number second projection,Phase 3 percentage second projection,Phase 4 number second projection,Phase 4 percentage second projection,Phase 5 number second projection,Phase 5 percentage second projection
#date+analysis,#country+code,#population,#loc+level1,#date+start+current,#date+end+current,#affected+num+ipc+current+total,#affected+num+ipc+current+p3plus,#affected+pct+ipc+current+p3plus,#affected+num+ipc+current+phase1,#affected+pct+ipc+current+phase1,#affected+num+ipc+current+phase2,#affected+pct+ipc+current+phase2,#affected+num+ipc+current+phase3,#affected+pct+ipc+current+phase3,#affected+num+ipc+current+phase4,#affected+pct+ipc+current+phase4,#affected+num+ipc+current+phase5,#affected+pct+ipc+current+phase5,#date+start+first_projection,#date+end+first_projection,#affected+num+ipc+first_projection+total,#affected+num+ipc+first_projection+p3plus,#affected+pct+ipc+first_projection+p3plus,#affected+num+ipc+first_projection+phase1,#affected+pct+ipc+first_projection+phase1,#affected+num+ipc+first_projection+phase2,#affected+pct+ipc+first_projection+phase2,#affected+num+ipc+first_projection+phase3,#affected+pct+ipc+first_projection+phase3,#affected+num+ipc+first_projection+phase4,#affected+pct+ipc+first_projection+phase4,#affected+num+ipc+first_projection+phase5,#affected+pct+ipc+first_projection+phase5,#date+start+second_projection,#date+end+second_projection,#affected+num+ipc+second_projection+total,#affected+num+ipc+second_projection+p3plus,#affected+pct+ipc+second_projection+p3plus,#affected+num+ipc+second_projection+phase1,#affected+pct+ipc+second_projection+phase1,#affected+num+ipc+second_projection+phase2,#affected+pct+ipc+second_projection+phase2,#affected+num+ipc+second_projection+phase3,#affected+pct+ipc+second_projection+phase3,#affected+num+ipc+second_projection+phase4,#affected+pct+ipc+second_projection+phase4,#affected+num+ipc+second_projection+phase5,#affected+pct+ipc+second_projection+phase5
Jan 2018,AFG,31575018,Badakhshan,2017-11-01,2018-02-28,982835,512103,0.52,178258,0.18,292473,0.3,292284,0.3,219819,0.22,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan 2018,AFG,31575018,Takhar,2017-11-01,2018-02-28,1017575,370904,0.37,197135,0.19,449537,0.44,284022,0.28,86882,0.09,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan 2018,AFG,31575018,Baghlan,2017-11-01,2018-02-28,946394,223898,0.24,306818,0.32,415679,0.44,179050,0.19,44848,0.05,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan 2018,AFG,31575018,Kunduz,2017-11-01,2018-02-28,979973,195143,0.2,417771,0.43,367059,0.37,136097,0.14,59046,0.06,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2017,AFG,29724323,Laghman,2017-05-01,2017-07-31,500738,131262,0.26,164287,0.33,195174,0.39,84365,0.17,46898,0.09,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2017,AFG,29724323,Kunar,2017-05-01,2017-07-31,468127,98846,0.21,210162,0.44,150185,0.32,65096,0.14,33749,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2017,AFG,29724323,Nuristan,2017-05-01,2017-07-31,127984,28415,0.23,44972,0.35,52037,0.41,18598,0.15,9817,0.08,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2017,AFG,29724323,Nangarhar,2017-05-01,2017-07-31,1894320,471235,0.24,662665,0.35,740430,0.39,292800,0.15,178435,0.09,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun 2021,AGO,32097671,Cunene,2021-06-01,2021-09-30,1232536,630440,0.51,227108,0.18,374989,0.3,481641,0.39,148799,0.12,0,0,2021-10-01,2022-03-31,1271638,750883,0.59,210263,0.17,310492,0.24,538282,0.42,212601,0.17,0,0,,,,,,,,,,,,,,,
Jun 2021,AGO,32097671,Huíla,2021-06-01,2021-09-30,805849,469787,0.58,107588,0.13,228475,0.28,371758,0.46,98028,0.12,0,0,2021-10-01,2022-03-31,827986,541912,0.66,94043,0.11,192031,0.23,411525,0.5,130387,0.16,0,0,,,,,,,,,,,,,,,
Jun 2021,AGO,32097671,Namibe,2021-06-01,2021-09-30,629405,215306,0.35,196564,0.31,217535,0.35,154845,0.25,60461,0.1,0,0,2021-10-01,2022-03-31,650500,291202,0.44,178518,0.27,180780,0.28,217531,0.33,73671,0.11,0,0,,,,,,,,,,,,,,,
Aug 2019,AGO,31825000,Ombadja,2019-07-01,2019-09-30,234395,142655,0.61,36977,0.16,54764,0.23,66945,0.29,75710,0.32,0,0,2019-10-01,2020-02-29,234395,174585,0.74,18954,0.08,40856,0.17,84782,0.36,89803,0.38,0,0,,,,,,,,,,,,,,,
Aug 2019,AGO,31825000,Quilengues,2019-07-01,2019-09-30,75334,17566,0.23,25223,0.33,32544,0.43,11199,0.15,6367,0.08,0,0,2019-10-01,2020-02-29,75334,24763,0.33,23633,0.31,26938,0.36,15313,0.2,9450,0.13,0,0,,,,,,,,,,,,,,,
Aug 2019,AGO,31825000,Cahama,2019-07-01,2019-09-30,70062,47503,0.68,5681,0.08,16586,0.24,13439,0.19,34064,0.49,0,0,2019-10-01,2020-02-29,70062,50955,0.73,6840,0.09,12267,0.18,16649,0.24,34306,0.49,0,0,,,,,,,,,,,,,,,
Aug 2019,AGO,31825000,Cuanhama,2019-07-01,2019-09-30,186615,78686,0.43,26027,0.14,81903,0.44,32690,0.18,45996,0.25,0,0,2019-10-01,2020-02-29,186615,144960,0.77,11690,0.06,29966,0.16,64152,0.34,80807,0.43,0,0,,,,,,,,,,,,,,,
Aug 2019,AGO,31825000,Gambos (ex-Chiange),2019-07-01,2019-09-30,79462,46811,0.57,14339,0.18,18312,0.23,18701,0.24,28110,0.33,0,0,2019-10-01,2020-02-29,79462,54387,0.69,5120,0.06,19955,0.25,21897,0.28,32490,0.41,0,0,,,,,,,,,,,,,,,
Aug 2019,AGO,31825000,Matala,2019-07-01,2019-09-30,190606,49136,0.26,96292,0.51,45179,0.24,28097,0.15,21039,0.11,0,0,2019-10-01,2020-02-29,190606,66289,0.35,74687,0.39,49629,0.26,33886,0.18,32403,0.17,0,0,,,,,,,,,,,,,,,
Aug 2019,AGO,31825000,Cuchi,2019-07-01,2019-09-30,39004,24342,0.62,4218,0.11,10444,0.27,18491,0.47,5851,0.15,0,0,2019-10-01,2020-02-29,39004,30193,0.77,2101,0.05,6711,0.17,24342,0.62,5851,0.15,0,0,,,,,,,,,,,,,,,
Aug 2019,AGO,31825000,Cuangar,2019-07-01,2019-09-30,28459,14474,0.5,6659,0.23,7325,0.26,9999,0.35,4475,0.15,0,0,2019-10-01,2020-02-29,28459,15709,0.55,5693,0.2,7057,0.25,10587,0.37,5122,0.18,0,0,,,,,,,,,,,,,,,
Nov 2024,BEN,12915002,Oueme,2024-10-01,2024-12-31,1419929,46925,0.03,1155051,0.81,217953,0.15,46925,0.03,0,0,0,0,2025-06-01,2025-08-31,1419929,26838,0.02,1231533,0.87,161558,0.11,26838,0.02,0,0,0,0,,,,,,,,,,,,,,,
Nov 2024,BEN,12915002,Borgou,2024-10-01,2024-12-31,1566831,39361,0.03,1293881,0.83,233589,0.15,39361,0.03,0,0,0,0,2025-06-01,2025-08-31,1566831,78638,0.05,1140321,0.73,347872,0.22,78638,0.05,0,0,0,0,,,,,,,,,,,,,,,
Nov 2024,BEN,12915002,Atlantique,2024-10-01,2024-12-31,1804234,56869,0.03,1482634,0.82,264731,0.15,56869,0.03,0,0,0,0,2025-06-01,2025-08-31,1804234,36540,0.02,1569377,0.87,198317,0.11,36540,0.02,0,0,0,0,,,,,,,,,,,,,,,
Nov 2024,BEN,12915002,Plateau,2024-10-01,2024-12-31,803090,26957,0.03,653030,0.81,123104,0.15,26957,0.03,0,0,0,0,2025-06-01,2025-08-31,803090,10489,0.01,699824,0.87,92777,0.12,10489,0.01,0,0,0,0,,,,,,,,,,,,,,,
Nov 2024,BEN,12915002,Alibori,2024-10-01,2024-12-31,1119349,66718,0.06,842151,0.75,210480,0.19,66718,0.06,0,0,0,0,2025-06-01,2025-08-31,1119349,87191,0.08,753759,0.67,278400,0.25,87191,0.08,0,0,0,0,,,,,,,,,,,,,,,
Nov 2024,BEN,12915002,Atacora,2024-10-01,2024-12-31,996504,83517,0.08,668321,0.67,244666,0.25,83517,0.08,0,0,0,0,2025-06-01,2025-08-31,996504,115761,0.12,538597,0.54,342146,0.34,115761,0.12,0,0,0,0,,,,,,,,,,,,,,,
Nov 2024,BEN,12915002,Donga,2024-10-01,2024-12-31,700839,45655,0.07,553978,0.79,101206,0.14,45655,0.07,0,0,0,0,2025-06-01,2025-08-31,700839,58810,0.08,495038,0.71,146991,0.21,58810,0.08,0,0,0,0,,,,,,,,,,,,,,,
Nov 2024,BEN,12915002,Zou,2024-10-01,2024-12-31,1098855,56044,0.05,868580,0.79,174231,0.16,56044,0.05,0,0,0,0,2025-06-01,2025-08-31,1098855,32269,0.03,916687,0.83,149899,0.14,32269,0.03,0,0,0,0,,,,,,,,,,,,,,,
Nov 2024,BEN,12915002,Mono,2024-10-01,2024-12-31,641629,34941,0.05,475619,0.74,131069,0.2,34941,0.05,0,0,0,0,2025-06-01,2025-08-31,641629,19776,0.03,546169,0.85,75684,0.12,19776,0.03,0,0,0,0,,,,,,,,,,,,,,,
Nov 2024,BEN,12915002,Collines,2024-10-01,2024-12-31,925812,40605,0.04,733764,0.79,151443,0.16,40605,0.04,0,0,0,0,2025-06-01,2025-08-31,925812,19551,0.02,812297,0.88,93965,0.1,19551,0.02,0,0,0,0,,,,,,,,,,,,,,,
Nov 2024,BEN,12915002,Couffo,2024-10-01,2024-12-31,961750,68649,0.07,725430,0.75,167671,0.17,68649,0.07,0,0,0,0,2025-06-01,2025-08-31,961750,36949,0.04,822969,0.86,101831,0.11,36949,0.04,0,0,0,0,,,,,,,,,,,,,,,
Nov 2024,BEN,12915002,Littoral,2024-10-01,2024-12-31,876178,17524,0.02,762275,0.87,96380,0.11,17524,0.02,0,0,0,0,2025-06-01,2025-08-31,876178,8762,0.01,797322,0.91,70094,0.08,8762,0.01,0,0,0,0,,,,,,,,,,,,,,,
Mar 2024,BEN,12910087,Oueme,2024-03-01,2024-05-31,519639,39117,0.08,368421,0.71,112101,0.22,39117,0.08,0,0,0,0,2024-06-01,2024-08-31,636768,16891,0.03,552422,0.87,67456,0.11,16891,0.03,0,0,0,0,,,,,,,,,,,,,,,
Mar 2024,BEN,12910087,Atlantique,2024-03-01,2024-05-31,1367813,55423,0.04,1090569,0.8,221821,0.16,55423,0.04,0,0,0,0,2024-06-01,2024-08-31,1442180,27528,0.02,1280924,0.89,133728,0.09,27528,0.02,0,0,0,0,,,,,,,,,,,,,,,
Mar 2024,BEN,12910087,Couffo,2024-03-01,2024-05-31,961750,38655,0.04,710599,0.74,212496,0.22,38655,0.04,0,0,0,0,2024-06-01,2024-08-31,961750,12234,0.01,803959,0.84,145557,0.15,12234,0.01,0,0,0,0,,,,,,,,,,,,,,,
Mar 2024,BEN,12910087,Atacora,2024-03-01,2024-05-31,571158,30687,0.05,457622,0.8,82850,0.15,30687,0.05,0,0,0,0,2024-06-01,2024-08-31,996504,62372,0.06,775686,0.78,158446,0.16,62372,0.06,0,0,0,0,,,,,,,,,,,,,,,
Mar 2024,BEN,12910087,Mono,2024-03-01,2024-05-31,464041,34259,0.07,349891,0.75,79891,0.17,34259,0.07,0,0,0,0,2024-06-01,2024-08-31,641629,23876,0.04,547705,0.85,70048,0.11,23876,0.04,0,0,0,0,,,,,,,,,,,,,,,
Mar 2024,BEN,12910087,Zou,2024-03-01,2024-05-31,850846,48377,0.06,664897,0.78,137572,0.16,48377,0.06,0,0,0,0,2024-06-01,2024-08-31,1098855,25230,0.02,951419,0.87,122206,0.11,25230,0.02,0,0,0,0,,,,,,,,,,,,,,,
Mar 2024,BEN,12910087,Donga,2024-03-01,2024-05-31,355262,38688,0.11,235059,0.66,81515,0.23,38688,0.11,0,0,0,0,2024-06-01,2024-08-31,355262,47667,0.13,213938,0.6,93656,0.26,47667,0.13,0,0,0,0,,,,,,,,,,,,,,,
Mar 2024,BEN,12910087,Plateau,2024-03-01,2024-05-31,147216,16194,0.11,94218,0.64,36804,0.25,16194,0.11,0,0,0,0,2024-06-01,2024-08-31,643501,5848,0.01,592277,0.92,45375,0.07,5848,0.01,0,0,0,0,,,,,,,,,,,,,,,
Mar 2024,BEN,12910087,Collines,2024-03-01,2024-05-31,443544,62319,0.14,278017,0.63,103208,0.23,62319,0.14,0,0,0,0,2024-06-01,2024-08-31,925812,20667,0.02,819515,0.89,85631,0.09,20667,0.02,0,0,0,0,,,,,,,,,,,,,,,
Mar 2024,BEN,12910087,Alibori,2024-03-01,2024-05-31,12910087,,,,,,,,,,,,,2024-06-01,2024-08-31,1119349,46112,0.04,882013,0.79,191223,0.17,46112,0.04,0,0,0,0,,,,,,,,,,,,,,,
Mar 2024,BEN,12910087,Borgou,2024-03-01,2024-05-31,12910087,,,,,,,,,,,,,2024-06-01,2024-08-31,1237170,21018,0.02,1022335,0.83,193817,0.16,21018,0.02,0,0,0,0,,,,,,,,,,,,,,,
Nov 2023,BEN,12915002,Mono,2023-10-01,2023-12-31,506190,29831,0.06,395099,0.78,81260,0.16,29831,0.06,0,0,0,0,2024-06-01,2024-08-31,506190,14052,0.03,437574,0.86,54564,0.11,14052,0.03,0,0,0,0,,,,,,,,,,,,,,,
Nov 2023,BEN,12915002,Borgou,2023-10-01,2023-12-31,1237170,10395,0.01,1101419,0.89,125356,0.1,10395,0.01,0,0,0,0,2024-06-01,2024-08-31,1237170,21018,0.02,1022335,0.83,193817,0.16,21018,0.02,0,0,0,0,,,,,,,,,,,,,,,
Nov 2023,BEN,12915002,Alibori,2023-10-01,2023-12-31,1119349,28949,0.03,936020,0.84,154379,0.14,28949,0.03,0,0,0,0,2024-06-01,2024-08-31,1119349,46112,0.04,882013,0.79,191223,0.17,46112,0.04,0,0,0,0,,,,,,,,,,,,,,,
Nov 2023,BEN,12915002,Atacora,2023-10-01,2023-12-31,996504,30060,0.03,871884,0.87,94560,0.09,30060,0.03,0,0,0,0,2024-06-01,2024-08-31,996504,54859,0.06,793212,0.8,148433,0.15,54859,0.06,0,0,0,0,,,,,,,,,,,,,,,
Nov 2023,BEN,12915002,Donga,2023-10-01,2023-12-31,355262,27354,0.08,253260,0.71,74648,0.21,27354,0.08,0,0,0,0,2024-06-01,2024-08-31,355262,34459,0.1,235497,0.66,85306,0.24,34459,0.1,0,0,0,0,,,,,,,,,,,,,,,
Nov 2023,BEN,12915002,Collines,2023-10-01,2023-12-31,925812,38335,0.04,750944,0.81,136532,0.15,38335,0.04,0,0,0,0,2024-06-01,2024-08-31,925812,21526,0.02,801248,0.87,103039,0.11,21526,0.02,0,0,0,0,,,,,,,,,,,,,,,
Nov 2023,BEN,12915002,Couffo,2023-10-01,2023-12-31,961750,25283,0.03,800726,0.83,135741,0.14,25283,0.03,0,0,0,0,2024-06-01,2024-08-31,961750,14007,0.01,848878,0.88,98866,0.1,14007,0.01,0,0,0,0,,,,,,,,,,,,,,,
Nov 2023,BEN,12915002,Plateau,2023-10-01,2023-12-31,643501,7200,0.01,577676,0.9,58625,0.09,7200,0.01,0,0,0,0,2024-06-01,2024-08-31,643501,2904,0,614360,0.95,26237,0.04,2904,0,0,0,0,0,,,,,,,,,,,,,,,
Nov 2023,BEN,12915002,Oueme,2023-10-01,2023-12-31,343387,30736,0.09,228141,0.66,84511,0.25,30736,0.09,0,0,0,0,2024-06-01,2024-08-31,343387,20792,0.06,270941,0.79,51654,0.15,20792,0.06,0,0,0,0,,,,,,,,,,,,,,,
Nov 2023,BEN,12915002,Atlantique,2023-10-01,2023-12-31,595235,7627,0.01,502341,0.84,85267,0.14,7627,0.01,0,0,0,0,2024-06-01,2024-08-31,595235,1645,0,536559,0.9,57031,0.1,1645,0,0,0,0,0,,,,,,,,,,,,,,,
Nov 2023,BEN,12915002,Zou,2023-10-01,2023-12-31,1098855,20049,0.02,959905,0.87,118901,0.11,20049,0.02,0,0,0,0,2024-06-01,2024-08-31,1098855,13401,0.01,994730,0.91,90724,0.08,13401,0.01,0,0,0,0,,,,,,,,,,,,,,,
Mar 2023,BEN,12915002,Mono,2023-03-01,2023-05-31,523930,38440,0.08,355882,0.68,129608,0.25,34975,0.07,3464,0.01,0,0,2023-06-01,2023-08-31,523930,19410,0.04,411037,0.78,93483,0.18,19410,0.04,0,0,0,0,,,,,,,,,,,,,,,
Mar 2023,BEN,12915002,Donga,2023-03-01,2023-05-31,807276,19730,0.02,703303,0.87,84243,0.1,19730,0.02,0,0,0,0,2023-06-01,2023-08-31,807276,28756,0.04,672573,0.83,105947,0.13,28756,0.04,0,0,0,0,,,,,,,,,,,,,,,
Mar 2023,BEN,12915002,Zou,2023-03-01,2023-05-31,813496,37019,0.05,657142,0.81,119334,0.15,37019,0.05,0,0,0,0,2023-06-01,2023-08-31,813496,11695,0.01,730559,0.9,71242,0.09,11695,0.01,0,0,0,0,,,,,,,,,,,,,,,
Mar 2023,BEN,12915002,Couffo,2023-03-01,2023-05-31,1018338,73800,0.07,759534,0.75,185003,0.18,69896,0.07,3904,0,0,0,2023-06-01,2023-08-31,1018338,46273,0.05,846363,0.83,125703,0.12,46273,0.05,0,0,0,0,,,,,,,,,,,,,,,
Mar 2023,BEN,12915002,Plateau,2023-03-01,2023-05-31,907421,38822,0.04,693287,0.76,175313,0.19,38822,0.04,0,0,0,0,2023-06-01,2023-08-31,907421,8395,0.01,811511,0.89,87515,0.1,8395,0.01,0,0,0,0,,,,,,,,,,,,,,,
Mar 2023,BEN,12915002,Collines,2023-03-01,2023-05-31,932175,58147,0.06,715687,0.77,158341,0.17,56497,0.06,1650,0,0,0,2023-06-01,2023-08-31,932175,24019,0.03,813646,0.87,94510,0.1,24019,0.03,0,0,0,0,,,,,,,,,,,,,,,
Mar 2023,BEN,12915002,Alibori,2023-03-01,2023-05-31,1268704,24933,0.02,1135905,0.9,107866,0.09,24933,0.02,0,0,0,0,2023-06-01,2023-08-31,1374399,42905,0.03,1160732,0.84,170763,0.12,42905,0.03,0,0,0,0,,,,,,,,,,,,,,,
Mar 2023,BEN,12915002,Borgou,2023-03-01,2023-05-31,1910785,54893,0.03,1638187,0.86,217705,0.11,54893,0.03,0,0,0,0,2023-06-01,2023-08-31,1910785,86521,0.04,1538178,0.8,286087,0.15,80556,0.04,5965,0,0,0,,,,,,,,,,,,,,,
Mar 2023,BEN,12915002,Atlantique,2023-03-01,2023-05-31,2377658,50461,0.02,2065829,0.87,261368,0.11,50461,0.02,0,0,0,0,2023-06-01,2023-08-31,2377658,23583,0.01,2181152,0.92,172923,0.07,23583,0.01,0,0,0,0,,,,,,,,,,,,,,,
Mar 2023,BEN,12915002,Oueme,2023-03-01,2023-05-31,1245894,93083,0.07,914448,0.73,238364,0.19,90617,0.07,2466,0,0,0,2023-06-01,2023-08-31,1316128,50861,0.04,1110541,0.84,154726,0.12,49456,0.04,1405,0,0,0,,,,,,,,,,,,,,,
Mar 2023,BEN,12915002,Atacora,2023-03-01,2023-05-31,1046602,58094,0.05,795628,0.76,192880,0.18,55098,0.05,2995,0,0,0,2023-06-01,2023-08-31,1046602,69723,0.06,761993,0.73,214886,0.21,66728,0.06,2995,0,0,0,,,,,,,,,,,,,,,
Oct 2022,BEN,12915002,Borgou,2022-10-01,2022-12-31,1237170,29994,0.02,1032273,0.83,174903,0.14,29994,0.02,0,0,0,0,2023-06-01,2023-08-31,1237170,42085,0.03,967789,0.78,227296,0.18,42085,0.03,0,0,0,0,,,,,,,,,,,,,,,
Oct 2022,BEN,12915002,Plateau,2022-10-01,2022-12-31,643501,4416,0.01,591674,0.92,47410,0.07,4416,0.01,0,0,0,0,2023-06-01,2023-08-31,643501,1472,0,607119,0.94,34909,0.05,1472,0,0,0,0,0,,,,,,,,,,,,,,,
Oct 2022,BEN,12915002,Atacora,2022-10-01,2022-12-31,862550,9593,0.01,751921,0.87,101037,0.12,9593,0.01,0,0,0,0,2023-06-01,2023-08-31,862550,19298,0.02,716549,0.83,126703,0.15,19298,0.02,0,0,0,0,,,,,,,,,,,,,,,
Oct 2022,BEN,12915002,Collines,2022-10-01,2022-12-31,781133,8586,0.01,695594,0.89,76953,0.1,8586,0.01,0,0,0,0,2023-06-01,2023-08-31,781133,9263,0.01,695103,0.89,76768,0.1,9263,0.01,0,0,0,0,,,,,,,,,,,,,,,
Oct 2022,BEN,12915002,Alibori,2022-10-01,2022-12-31,887998,17610,0.02,773221,0.87,97168,0.11,17610,0.02,0,0,0,0,2023-06-01,2023-08-31,887998,25659,0.03,739509,0.83,122830,0.14,25659,0.03,0,0,0,0,,,,,,,,,,,,,,,
Oct 2022,BEN,12915002,Couffo,2022-10-01,2022-12-31,740956,18184,0.02,602442,0.81,120330,0.16,18184,0.02,0,0,0,0,2023-06-01,2023-08-31,740956,8701,0.01,646188,0.87,86067,0.12,8701,0.01,0,0,0,0,,,,,,,,,,,,,,,
Oct 2022,BEN,12915002,Zou,2022-10-01,2022-12-31,758137,20191,0.03,646300,0.85,91646,0.12,20191,0.03,0,0,0,0,2023-06-01,2023-08-31,758137,12764,0.02,666793,0.88,78580,0.1,12764,0.02,0,0,0,0,,,,,,,,,,,,,,,
Oct 2022,BEN,12915002,Oueme,2022-10-01,2022-12-31,343387,18501,0.05,266009,0.77,58878,0.17,18501,0.05,0,0,0,0,2023-06-01,2023-08-31,343387,13413,0.04,278730,0.81,51244,0.15,13413,0.04,0,0,0,0,,,,,,,,,,,,,,,
Oct 2022,BEN,12915002,Mono,2022-10-01,2022-12-31,506190,19808,0.04,394675,0.78,91708,0.18,19808,0.04,0,0,0,0,2023-06-01,2023-08-31,506190,11748,0.02,438520,0.87,55921,0.11,11748,0.02,0,0,0,0,,,,,,,,,,,,,,,
Oct 2022,BEN,12915002,Atlantique,2022-10-01,2022-12-31,639781,21364,0.03,521471,0.82,96946,0.15,21364,0.03,0,0,0,0,2023-06-01,2023-08-31,639781,13382,0.02,569379,0.89,57021,0.09,13382,0.02,0,0,0,0,,,,,,,,,,,,,,,
Oct 2022,BEN,12915002,Donga,2022-10-01,2022-12-31,355262,13338,0.04,259407,0.73,82517,0.23,13338,0.04,0,0,0,0,2023-06-01,2023-08-31,355262,16891,0.05,244129,0.69,94242,0.27,16891,0.05,0,0,0,0,,,,,,,,,,,,,,,
Mar 2022,BEN,12915002,Borgou,2022-03-01,2022-05-31,1566831,58304,0.04,1309588,0.84,198939,0.13,58304,0.04,0,0,0,0,2022-06-01,2022-08-31,1566831,83835,0.05,1219830,0.78,263166,0.17,83835,0.05,0,0,0,0,,,,,,,,,,,,,,,
Mar 2022,BEN,12915002,Atacora,2022-03-01,2022-05-31,996504,66253,0.07,738678,0.74,191573,0.19,64783,0.07,1470,0,0,0,2022-06-01,2022-08-31,996504,80110,0.08,693091,0.7,223303,0.22,77170,0.08,2940,0,0,0,,,,,,,,,,,,,,,
Mar 2022,BEN,12915002,Oueme,2022-03-01,2022-05-31,1419929,84319,0.06,1042416,0.73,293194,0.21,81752,0.06,2567,0,0,0,2022-06-01,2022-08-31,1419929,39048,0.03,1188619,0.84,192263,0.14,39048,0.03,0,0,0,0,,,,,,,,,,,,,,,
Mar 2022,BEN,12915002,Atlantique,2022-03-01,2022-05-31,1804234,182400,0.1,1268213,0.7,353621,0.2,177157,0.1,5243,0,0,0,2022-06-01,2022-08-31,1804234,80903,0.04,1478085,0.82,245246,0.14,80903,0.04,0,0,0,0,,,,,,,,,,,,,,,
Mar 2022,BEN,12915002,Alibori,2022-03-01,2022-05-31,1119349,49891,0.04,891987,0.8,177472,0.16,49891,0.04,0,0,0,0,2022-06-01,2022-08-31,1119349,63967,0.06,856220,0.76,199162,0.18,63967,0.06,0,0,0,0,,,,,,,,,,,,,,,
Mar 2022,BEN,12915002,Plateau,2022-03-01,2022-05-31,803090,65178,0.08,570457,0.71,167455,0.21,65178,0.08,0,0,0,0,2022-06-01,2022-08-31,803090,31401,0.04,682599,0.85,89090,0.11,31401,0.04,0,0,0,0,,,,,,,,,,,,,,,
Mar 2022,BEN,12915002,Collines,2022-03-01,2022-05-31,925812,130592,0.14,556312,0.6,238908,0.26,128760,0.14,1833,0,0,0,2022-06-01,2022-08-31,925812,55634,0.06,698237,0.75,171940,0.19,55634,0.06,0,0,0,0,,,,,,,,,,,,,,,
Mar 2022,BEN,12915002,Zou,2022-03-01,2022-05-31,1098855,141904,0.13,647741,0.59,309209,0.28,141904,0.13,0,0,0,0,2022-06-01,2022-08-31,1098855,53389,0.05,902217,0.82,143249,0.13,53389,0.05,0,0,0,0,,,,,,,,,,,,,,,
Mar 2022,BEN,12915002,Donga,2022-03-01,2022-05-31,700839,51007,0.07,512681,0.73,137151,0.2,51007,0.07,0,0,0,0,2022-06-01,2022-08-31,700839,85004,0.12,424294,0.61,191542,0.27,81646,0.12,3357,0,0,0,,,,,,,,,,,,,,,
Mar 2022,BEN,12915002,Mono,2022-03-01,2022-05-31,641629,53152,0.08,444302,0.69,144174,0.22,50237,0.08,2915,0,0,0,2022-06-01,2022-08-31,641629,26808,0.04,502018,0.78,112802,0.18,26808,0.04,0,0,0,0,,,,,,,,,,,,,,,
Mar 2022,BEN,12915002,Couffo,2022-03-01,2022-05-31,961750,237815,0.25,417721,0.43,306214,0.32,226549,0.24,11266,0.01,0,0,2022-06-01,2022-08-31,961750,116148,0.12,621987,0.65,223616,0.23,116148,0.12,0,0,0,0,,,,,,,,,,,,,,,
Mar 2022,BEN,12915002,Littoral,2022-03-01,2022-05-31,876178,105141,0.12,534469,0.61,236568,0.27,87618,0.1,17524,0.02,0,0,2022-06-01,2022-08-31,876178,113903,0.13,499421,0.57,262853,0.3,96380,0.11,17524,0.02,0,0,,,,,,,,,,,,,,,
Nov 2021,BEN,12915002,Atacora,2021-10-01,2021-12-31,969740,2371,0,867242,0.89,100127,0.1,2371,0,0,0,0,0,2022-06-01,2022-08-31,969740,7125,0.01,833278,0.86,129337,0.13,7125,0.01,0,0,0,0,,,,,,,,,,,,,,,
Nov 2021,BEN,12915002,Alibori,2021-10-01,2021-12-31,1088923,3783,0,961929,0.88,123212,0.11,3783,0,0,0,0,0,2022-06-01,2022-08-31,1088923,10325,0.01,904562,0.83,174036,0.16,10325,0.01,0,0,0,0,,,,,,,,,,,,,,,
Oct 2020,BEN,12500000,Zou,2020-10-01,2020-12-31,557473,26694,0.05,409395,0.73,121384,0.22,26694,0.05,0,0,0,0,2021-06-01,2021-08-31,557473,4679,0.01,485768,0.87,67026,0.12,4679,0.01,0,0,0,0,,,,,,,,,,,,,,,
Oct 2020,BEN,12500000,Atlantique,2020-10-01,2020-12-31,782451,55867,0.07,518234,0.66,208350,0.27,55867,0.07,0,0,0,0,2021-06-01,2021-08-31,782451,10732,0.01,668325,0.85,103394,0.13,10732,0.01,0,0,0,0,,,,,,,,,,,,,,,
