,original_wb,mapped_wb
0,Al Gezira,Aj Jazirah
1,Blue Nile,Blue Nile
2,Kassala,Kassala
3,Nile,River Nile
4,North Darfur,North Darfur
5,North Kordofan,North Kordofan
6,Northern,Northern
7,South Kordofan,South Kordofan
8,West Darfur,West Darfur
9,West Kordofan,West Kordofan
10,White Nile,White Nile
11,South Darfur,South Darfur
12,Central Darfur,Central Darfur
13,Eastern Darfur,East Darfur
14,Gedaref,Gedaref
15,Red Sea,Red Sea
16,Sennar,Sennar
17,Khartoum,Khartoum
