,original_wb,mapped_wb
0,Assaba,Assaba
1,Inchiri,Inchiri
2,Nouakchott,Nouakchott
3,Trarza,Trarza
4,Dakhlet-Nouadhibou,Dakhlet-Nouadhibou
5,Guidimakha,Guidimakha
6,Adrar,Adrar
7,Brakna,Brakna
8,Gorgol,Gorgol
9,Hodh Ech Chargi,Hodh Ech Chargi
10,Hodh El Gharbi,Hodh El Gharbi
11,Tagant,Tagant
12,Tiris-Zemmour,Tiris-Zemmour
