,original_wb,mapped_wb
0,Gauteng,Gauteng
1,KwaZulu-Natal,KwaZulu-Natal
2,Mpumalanga,Mpumalanga
3,Eastern Cape,Eastern Cape
4,Free State,Free State
5,North West,North West
6,Northern Cape,Nothern Cape
7,Limpopo,Limpopo
8,Western Cape,Western Cape
