,original_wb,mapped_wb
0,Alaotra Mangoro,
1,Amoron I Mania,
2,Analamanga,
3,Analanjirofo,Analanjirofo
4,Androy,Androy
5,Anosy,Anosy
6,Atsimo Andrefana,Atsimo Andrefana
7,Atsimo Atsinanana,Atsimo Atsinanana
8,Atsinanana,Atsinanana
9,Vakinankaratra,
10,Sava,Sava
11,Sofia,
12,Haute Matsiatra,
13,Ihorombe,
14,Itasy,
15,Melaky,
16,Menabe,
17,Vatovavy Fitovinany,Vatovavy Fitovinany
18,Betsiboka,
19,Boeny,
20,Bongolava,
21,Diana,Diana
