,original_wb,mapped_wb
0,Boke,Boke
1,Nzerekore,Nzerekore
2,Labe,Labe
3,Mamou,Mamou
4,Kankan,Kankan
5,Conakry,Conakry
6,Faranah,Faranah
7,Kindia,Kindia
