,original_wb,mapped_wb
0,Adamaoua,Adamawa
1,Centre,
2,Est,East
3,Extrême-Nord,Far-North
4,Littoral,
5,Nord,North
6,Nord-Ouest,North-West
7,Ouest,West
8,Sud,South
9,Sud-Ouest,South-West
