,original_wb,mapped_wb
0,BOUCLE DU MOUHOUN,Boucle du Mouhoun
1,CASCADES,Cascades
2,CENTRE,Centre
3,CENTRE-EST,Centre-Est
4,CENTRE-NORD,Centre-Nord
5,CENTRE-OUEST,Centre-Ouest
6,CENTRE-SUD,Centre-Sud
7,EST,Est
8,HAUTS-BASSINS,Hauts-Bassins
9,NORD,Nord
10,PLATEAU-CENTRAL,Plateau Central
11,SAHEL,Sahel
12,SUD-OUEST,Sud-Ouest
