,original_wb,mapped_wb
0,Ouham Pendé,Ouham Pendé
1,Bangui,Bangui
2,Ouham,Ouham
3,Mbomou,Mbomou
4,Bamingui-Bangoran,Bamingui-Bangoran
5,Haut-Mbomou,Haut-Mbomou
6,Haute-Kotto,Haute-Kotto
7,Vakaga,Vakaga
8,Nana-Mambéré,Nana-Mambéré
9,Lobaye,Lobaye
10,Ouaka,Ouaka
11,Ombella M'Poko,Ombella M'Poko
12,Nana-Gribizi,Nana-Gribizi
13,Basse-Kotto,Basse-Kotto
14,Kémo,Kémo
15,Sangha-Mbaéré,Sangha-Mbaéré
16,Mambéré-Kadéï,Mambéré-Kadéï
