,original_wb,mapped_wb
0,ASHANTI,Ashanti
1,BRONG AHAFO,Ahafo
2,CENTRAL,Central
3,EASTERN,Eastern
4,GREATER ACCRA,Greater Accra
5,NORTHERN,Northern East
6,UPPER EAST,Upper East
7,UPPER WEST,Upper West
8,VOLTA,Volta
9,WESTERN,Western North
