,original_wb,mapped_wb
0,Koulikoro,Koulikoro
1,Sikasso,Sikasso
2,Kidal,Kidal
3,Mopti,Mopti
4,Segou,Segou
5,Tombouctou,Tombouctou
6,Bamako,Bamako
7,Gao,Gao
8,Kayes,Kayes
