,original_wb,mapped_wb
0,Central Equatoria,Central Equatoria
1,Eastern Equatoria,Eastern Equatoria
2,Jonglei,Jonglei
3,Lakes,Lakes
4,Northern Bahr el Ghazal,Northern Bahr el Ghazal
5,Unity,Unity
6,Upper Nile,Upper Nile
7,Warrap,Warrap
8,Western Bahr el Ghazal,Western Bahr el Ghazal
9,Western Equatoria,Western Equatoria
