,original_wb,mapped_wb
0,Central,Central Province
1,Copperbelt,Copperbelt
2,Eastern,Eastern Province
3,Luapula,Luapula
4,Lusaka,Lusaka
5,North-Western,North-Western
6,Northern,Northern Province
7,Southern,Southern Province
8,Western,Western Province
9,Muchiga,Muchiga
