,original_wb,mapped_wb
0,Diourbel,Diourbel
1,Kaffrine,Kaffrine
2,Louga,Louga
3,Sedhiou,Sedhiou
4,Kaolack,Kaolack
5,Kedougou,Kedougou
6,Kolda,Kolda
7,Matam,Matam
8,Tambacounda,Tambacounda
9,Thies,Thies
10,Ziguinchor,Ziguinchor
11,Saint Louis,Saint Louis
12,Dakar,Dakar
13,Fatick,Fatick
