,original_wb,mapped_wb
0,Diffa,Diffa
1,Niamey,Niamey
2,Agadez,Agadez
3,Dosso,Dosso
4,Maradi,Maradi
5,Tahoua,Tahoua
6,Tillaberi,Tillaberi
7,Zinder,Zinder
