,original_wb,mapped_wb
0,Bengo,
1,Benguela,
2,Bie,
3,Cabinda,
4,Cuando Cubango,Cuchi
5,Cuanza Sul,
6,Cunene,Cunene
7,Huambo,
8,Huila,Huíla
9,Kuanza Norte,
10,Luanda,Cuangar
11,Lunda Norte,
12,Lunda Sul,
13,Malanje,
14,Moxico,
15,Namibe,Namibe
16,Uige,
17,Zaire,
