,original_wb,mapped_wb
0,Cabo_Delgado,Cabo Delgado
1,Gaza,Gaza
2,Inhambane,Inhambane
3,Manica,Manica
4,Maputo,Maputo
5,Maputo City,Maputo City
6,Nampula,Nampula
7,Niassa,Niassa
8,Sofala,Sofala
9,Tete,Tete
10,Zambezia,Zambezia
