,original_wb,mapped_wb
0,Awdal,Awdal
1,Bakool,Bakool
2,Bari,Bari
3,Bay,Bay
4,Banadir,Banadir
5,Galgaduud,Galgaduud
6,Gedo,Gedo
7,Hiraan,Hiraan
8,Juba Hoose,Juba Hoose
9,Shabelle Hoose,Shabelle Hoose
10,Juba Dhexe,Juba Dhexe
11,Shabelle Dhexe,Shabelle Dhexe
12,Mudug,Mudug
13,Nugaal,Nugaal
14,Sanaag,Sanaag
15,Sool,Sool
16,Togdheer,Togdheer
17,Woqooyi Galbeed,Woqooyi Galbeed
