,original_wb,mapped_wb
0,Borgou,Borgou
1,Donga,Donga
2,Atlantique,Atlantique
3,Zou,Zou
4,Alibori,Alibori
5,Atakora,Atacora
6,Mono,Mono
7,Oueme,Oueme
8,Couffo,Couffo
9,Littoral,Littoral
10,Collines,Collines
11,Plateau,Plateau
