,original_wb,mapped_wb
0,Bulawayo,
1,Harare,
2,Manicaland,Manicaland
3,Mashonaland Central,Mashonaland Central
4,Mashonaland East,Mashonaland East
5,Mashonaland West,Mashonaland West
6,Masvingo,Masvingo
7,Matabeleland North,Matabeleland North
8,Matabeleland South,Matabeleland South
9,Midlands,Midlands
