,original_wb,mapped_wb
0,Arta,Arta
1,Djibouti,Djibouti Ville
2,Obock,Obock
3,Tadjourah,Tadjourah
4,Ali Sabieh,Ali Sabieh
5,Dikhill,Dikhil
